key,L
24.822873_0.512821_0.532258,1.7014499942
20.691981_0.670000_0.641026,1.6172145209
26.704069_0.655963_0.546667,1.764637632
23.644990_0.592105_0.521739,1.7084786091
18.204350_0.588496_0.536232,1.6165656374
29.934699_0.592233_0.652778,1.7713652582
26.412768_0.685000_0.632911,1.7190832817
27.857614_0.759434_0.530120,1.8564949073
20.838070_0.519417_0.701493,1.5288854658
34.388715_0.682692_0.589744,1.8506884631
34.122826_0.747191_0.717647,1.7888316923
34.183618_0.580000_0.694444,1.8097174806
22.775840_0.610000_0.675676,1.5958517192
25.766162_0.689655_0.768293,1.7178598375
20.297875_0.601770_0.528571,1.6165656374
28.320283_0.772727_0.600000,1.7979222621
25.380279_0.761682_0.518072,1.764637632
30.930929_0.602941_0.657534,1.7715985325
25.103427_0.513889_0.646154,1.6470041033
26.039507_0.659091_0.533333,1.764637632
27.658685_0.668421_0.696203,1.7375003258
18.576775_0.495327_0.671875,1.5065491706
20.918265_0.604396_0.776316,1.8123633428
26.189618_0.582474_0.726027,1.6768527553
29.144386_0.588235_0.666667,1.7713652582
27.216623_0.585106_0.756757,1.7178598375
33.589684_0.571429_0.722222,1.7888316923
26.194660_0.766990_0.559524,1.764637632
33.622422_0.579439_0.614286,1.8281911542
22.848431_0.658416_0.636364,1.6172145209
22.061599_0.518868_0.666667,1.5958517192
22.887363_0.573684_0.753425,1.692352933
23.462999_0.678571_0.658228,1.5968759589
24.772404_0.745283_0.536585,1.764637632
22.492561_0.685714_0.576923,1.6106582872
24.706724_0.504348_0.564516,1.6645908415
20.352050_0.495192_0.707692,1.5288854658
24.522296_0.589474_0.743243,1.6663010459
34.623025_0.691176_0.607595,1.8506884631
33.495821_0.659794_0.679487,1.8281911542
20.420488_0.487500_0.508475,1.6516751495
30.810270_0.573276_0.507463,1.8564949073
18.719198_0.523364_0.651515,1.5065491706
19.997246_0.516949_0.516129,1.6165656374
28.496912_0.768041_0.623529,1.7979222621
23.545125_0.486111_0.666667,1.5968759589
21.673220_0.504587_0.640625,1.5641014287
25.396568_0.609375_0.720000,1.6663010459
31.585758_0.592233_0.652778,1.7715985325
19.732429_0.596154_0.638889,1.5641014287
20.359184_0.657143_0.592105,1.6106582872
27.899773_0.657609_0.734177,1.7387291248
30.302785_0.687500_0.675000,1.7713652582
31.740812_0.676471_0.615385,1.8281911542
23.477526_0.592391_0.773333,1.692352933
21.296697_0.508850_0.587302,1.6106582872
25.510472_0.664706_0.802469,1.8687133731
20.069292_0.597222_0.591549,1.6106582872
22.656493_0.582474_0.726027,1.6174879794
17.988298_0.598214_0.542857,1.6165656374
21.126357_0.587156_0.585714,1.6106582872
33.504521_0.595000_0.684932,1.8097174806
21.094505_0.513158_0.571429,1.6106582872
20.305244_0.575472_0.628571,1.5641014287
24.450780_0.495798_0.516667,1.7237862534
26.140259_0.592391_0.773333,1.7178598375
19.890995_0.571429_0.642857,1.5641014287
19.246716_0.508850_0.587302,1.5722315545
32.391713_0.673913_0.725000,1.7888316923
19.278532_0.500000_0.761194,1.644015014
34.131702_0.747525_0.590361,1.8506884631
26.318737_0.747664_0.524390,1.764637632
22.559740_0.673913_0.725000,1.6174879794
23.802091_0.657143_0.592105,1.764637632
32.724727_0.597222_0.591549,1.8281911542
27.283310_0.500000_0.580645,1.7554527066
22.582229_0.580645_0.770270,1.692352933
32.581094_0.599010_0.671233,1.8018975189
34.406139_0.673913_0.725000,1.7888316923
23.157573_0.659794_0.679487,1.5958517192
26.778043_0.686813_0.728395,1.7178598375
33.153701_0.609375_0.720000,1.7888316923
23.322231_0.681818_0.645570,1.5968759589
23.751925_0.600000_0.789474,1.692352933
31.587003_0.585714_0.633803,1.7882284422
25.994042_0.590909_0.698630,1.6768527553
23.176628_0.486486_0.629032,1.6172145209
