key,L
22.824402_0.277778_0.875000,2.025446727
24.040363_0.320755_0.846154,1.9208479536
34.693215_0.304878_0.627907,1.6157332267
26.180491_0.332031_0.511628,1.5660530896
30.832224_0.299180_0.651163,1.5432513608
28.867281_0.319328_0.673913,1.5473323392
24.601399_0.250000_0.913043,1.9570809971
33.068801_0.271429_0.918367,2.1960163626
23.757912_0.345745_0.949153,2.3513956047
25.881209_0.257282_0.959184,2.2134573871
34.572971_0.321739_0.729167,1.6231105116
25.217332_0.333333_0.910714,2.0757347439
19.781335_0.340000_0.892857,2.0084990822
30.253073_0.305785_0.659091,1.5399548777
34.631301_0.310484_0.604651,1.5996905066
31.814353_0.342105_0.720000,1.6362775843
34.459331_0.332031_0.511628,1.7043900991
33.980544_0.243802_0.743590,1.5297329603
26.637371_0.305263_0.982143,2.4903695159
25.304745_0.383333_0.952381,2.5244920202
28.979018_0.328125_0.947368,2.2937188524
29.968076_0.357143_0.730769,1.6385202225
29.389222_0.250000_0.571429,1.4604821893
25.720612_0.323529_0.888889,2.0757347439
27.408466_0.304545_0.816327,1.763239293
28.781480_0.330357_0.760000,1.6271121541
32.606663_0.225410_0.756757,1.5550715815
30.279449_0.243802_0.743590,1.5119705524
22.423882_0.370968_0.934426,2.2956784997
30.168257_0.303150_0.560976,1.5710512864
25.827856_0.331683_0.890909,2.0586558077
22.222772_0.316832_0.907407,2.0832427971
27.271753_0.287129_0.942308,2.3468526062
29.712567_0.297619_0.585366,1.5657632699
27.931801_0.236842_0.857143,1.8076634418
28.940810_0.301724_0.739130,1.599275046
31.850627_0.328125_0.947368,2.3993166797
33.204117_0.351351_0.750000,1.6623650141
16.033061_0.313830_0.982456,2.2281152729
25.520095_0.270270_0.847826,1.9187390072
34.632159_0.368421_0.916667,2.3819374449
31.280665_0.323009_0.755102,1.6176587556
31.194477_0.224576_0.820513,1.7401490014
31.825667_0.278302_0.897959,2.028325198
32.762340_0.304000_0.595238,1.6169913699
30.536517_0.307692_0.500000,1.650143634
31.403698_0.340659_0.983333,2.6326964339
20.952944_0.361702_0.933333,2.2500731092
28.419986_0.331818_0.784314,1.6684851644
33.781224_0.324324_0.780000,1.6919282512
18.842825_0.323529_0.888889,2.0242716662
21.317232_0.383333_0.952381,2.3555298157
28.676624_0.338235_0.872727,1.9910512506
29.773414_0.346774_0.565217,1.6146403011
22.073702_0.235849_0.956522,2.0829651509
25.172587_0.228571_0.978261,2.2134573871
31.664586_0.285047_0.877551,2.1186082361
32.292063_0.255639_0.500000,1.5387874075
31.160022_0.357143_0.730769,1.6362775843
34.742485_0.331522_0.983051,2.599495564
31.859313_0.274590_0.682927,1.5265530767
24.780962_0.250000_0.863636,1.8895446344
33.149331_0.316000_0.581395,1.6107552115
31.224293_0.318182_0.644444,1.5793347324
23.278416_0.333333_0.910714,2.1538106588
33.323908_0.314286_0.865385,1.9673849223
34.090999_0.256637_0.840909,1.8767622158
31.213670_0.314286_0.865385,1.9815459346
23.590005_0.257282_0.959184,2.1441154849
20.420943_0.323529_0.888889,2.0084990822
34.254035_0.250000_0.529412,1.503879673
30.351517_0.235849_0.956522,2.2653185137
32.002142_0.313830_0.982456,2.4851815986
21.592480_0.343750_0.931034,2.2273176661
30.520119_0.354839_0.950000,2.4720646956
22.990555_0.264423_0.938776,2.1816383689
27.698942_0.271429_0.918367,2.1275716797
24.459406_0.344660_0.854545,1.8989400465
31.125751_0.300971_0.903846,2.1687473475
29.551543_0.267176_0.527778,1.551739219
18.530871_0.280000_0.961538,2.1582347206
31.120562_0.361111_0.777778,1.7009930735
26.832705_0.314286_0.865385,1.8749420202
26.104615_0.237288_0.800000,1.6786651953
31.834954_0.270270_0.847826,1.8107944783
34.120034_0.262931_0.790698,1.6415259518
31.751275_0.244186_0.600000,1.4800886782
27.676501_0.306723_0.688889,1.5088889653
33.668769_0.243697_0.775000,1.6415259518
30.053570_0.267717_0.605263,1.4453744688
23.925554_0.344660_0.854545,1.8989400465
32.384598_0.306604_0.862745,1.9815459346
23.661528_0.256881_0.891304,1.9298666393
32.561588_0.237903_0.702703,1.4812425957
28.927534_0.290698_0.538462,1.551739219
23.082625_0.338235_0.872727,1.8900077986
27.529137_0.384211_0.901639,2.1688081423
29.610150_0.271429_0.918367,2.2412932272
31.752789_0.256000_0.657895,1.4938805163
29.763672_0.298387_0.619048,1.5207978966
28.234973_0.334906_0.830189,1.7613783774
28.420098_0.383333_0.952381,2.5796893996
33.126636_0.308594_0.536585,1.6333104454
17.048445_0.366667_0.967742,2.1604855696
27.554094_0.237500_0.769231,1.554535994
34.021380_0.256522_0.813953,1.7827151973
33.441514_0.265000_0.980392,2.4079404864
31.769814_0.350515_0.913793,2.2308125162
31.098243_0.182927_0.818182,1.7422309552
18.557700_0.321053_0.964912,2.336544403
25.567662_0.344660_0.854545,1.9152732998
19.548861_0.236111_0.933333,1.9688109242
23.659104_0.329787_0.965517,2.3565356733
28.056577_0.375000_0.900000,2.1779074229
29.747229_0.314286_0.865385,2.0765811521
33.974523_0.313953_0.512195,1.6679141777
19.266580_0.265000_0.980392,2.1674982202
27.717851_0.280000_0.961538,2.2728984755
33.086146_0.347222_0.792453,1.6870260648
28.068152_0.309524_0.571429,1.5063487575
29.180205_0.304878_0.627907,1.5207978966
28.960748_0.342105_0.720000,1.586209307
33.683398_0.250000_0.648649,1.4851204363
33.463040_0.341463_0.586957,1.626284089
23.568053_0.354839_0.950000,2.3384568317
27.754857_0.262500_0.731707,1.4954017877
24.160650_0.288660_0.981481,2.3565356733
32.373104_0.370000_0.862069,1.9602568211
26.982926_0.306723_0.688889,1.5079132018
33.208416_0.225806_0.722222,1.4986036418
34.676464_0.268908_0.738095,1.5885595943
31.433041_0.296875_0.550000,1.5710512864
33.137111_0.243243_0.886364,2.1208044043
31.703956_0.228972_0.955556,2.2348718309
17.791719_0.312500_0.964286,2.2565636528
33.976907_0.352632_0.932203,2.2589891046
29.236311_0.330357_0.760000,1.6271680514
32.746335_0.364130_0.950820,2.4040605407
21.802225_0.270270_0.847826,1.8638127329
33.260616_0.353211_0.773585,1.6872317719
18.867402_0.264151_0.916667,1.9162481807
33.538221_0.244094_0.638889,1.4851204363
34.753970_0.243119_0.911111,2.1181243274
28.312224_0.342975_0.617021,1.6039811801
28.062454_0.330357_0.760000,1.6251907431
31.923817_0.336066_0.608696,1.6355881356
19.491206_0.366667_0.967742,2.3762136008
33.619628_0.338583_0.522727,1.7038828903
30.622578_0.262500_0.731707,1.5119705524
30.433908_0.256000_0.657895,1.4247217887
30.352733_0.329268_0.600000,1.5830221073
21.652016_0.287879_0.962264,2.2479844229
33.430830_0.361386_0.859649,1.9602568211
29.330120_0.298387_0.619048,1.5271689357
32.980929_0.336066_0.608696,1.616046678
32.463877_0.262931_0.790698,1.7037432472
25.191281_0.311927_0.820000,1.6884912375
34.415876_0.323529_0.888889,2.103280639
33.209234_0.278626_0.513514,1.5915449055
34.620878_0.272277_0.960784,2.4079404864
25.091751_0.223684_0.878049,1.858667356
33.544531_0.304124_0.963636,2.4694291824
32.821811_0.370000_0.862069,1.9613203255
34.724178_0.316832_0.907407,2.205414312
27.504126_0.272727_0.500000,1.5393746418
33.085188_0.364865_0.735849,1.6623650141
30.008028_0.339450_0.788462,1.6899626824
27.978215_0.331818_0.784314,1.6705431094
34.949221_0.279528_0.589744,1.5936543523
31.957900_0.370968_0.934426,2.3075591705
28.085251_0.326271_0.680851,1.5467973755
32.304033_0.311475_0.636364,1.5739937433
27.330796_0.320755_0.846154,1.9042907197
25.361796_0.363636_0.879310,2.031362127
22.261703_0.316832_0.907407,2.0825176368
29.391677_0.276316_0.800000,1.7281079733
25.390287_0.242857_0.957447,2.261632041
34.562524_0.250000_0.979592,2.4159408933
30.561453_0.250000_0.913043,2.1427091943
16.751309_0.318182_0.927273,1.9402841871
32.551926_0.304878_0.627907,1.5801045142
32.017408_0.349558_0.725490,1.6398066472
33.563868_0.280488_0.658537,1.5565839866
28.760980_0.257282_0.959184,2.2412932272
32.685948_0.336283_0.740000,1.6398066472
29.481388_0.243697_0.775000,1.6459073919
29.232334_0.334783_0.714286,1.5946103173
18.421300_0.280000_0.961538,2.1614394691
29.000844_0.264423_0.938776,2.3050645042
18.781796_0.242857_0.957447,2.1619299339
19.773769_0.257282_0.959184,2.1674982202
29.755001_0.338983_0.666667,1.5709519261
26.339707_0.326772_0.534884,1.5932238356
32.008974_0.351695_0.653061,1.6467101395
24.264056_0.344660_0.854545,1.9007022058
34.187158_0.331818_0.784314,1.6786522736
15.252346_0.322581_0.982759,2.2403804719
