chiN,fA,tau,density_profile,density_image,normalized_fft,dot_product_vector,dot_cluster
22.824402,0.277778,0.875,[0.96496645 0.96145499 0.94939826 ... 0.93487691 0.95367994 0.96145499],"[[0.96496645 0.96145499 0.94939826 ... 0.92371948 0.94939826 0.96145499]
 [0.96145499 0.96145499 0.95367994 ... 0.8976559  0.93487691 0.95367994]
 [0.94939826 0.95367994 0.94939826 ... 0.84889042 0.90465796 0.93487691]
 ...
 [0.92371948 0.8976559  0.84889042 ... 0.92371948 0.93487691 0.93487691]
 [0.94939826 0.93487691 0.90465796 ... 0.93487691 0.94939826 0.95367994]
 [0.96145499 0.95367994 0.93487691 ... 0.93487691 0.95367994 0.96145499]]","[[ 0.74704442+0.00000000e+00j  0.25507022+7.68150834e-19j
   0.03569545-8.96966324e-19j ... -0.01505447-4.25839596e-18j
   0.03569545-9.02750739e-19j  0.25507022-2.21436482e-19j]
 [ 0.25507022-1.89387989e-18j  0.08068652-5.86665614e-19j
  -0.01014948+1.71388998e-18j ... -0.01014948-9.22085547e-19j
   0.08068652-2.45575280e-18j  0.25507022+5.53895923e-18j]
 [ 0.03569545-1.14536129e-18j -0.01014948+1.33334529e-18j
  -0.01156856+2.38732583e-18j ... -0.01014948+5.76717436e-19j
   0.03569545-1.43222808e-18j  0.08068652-2.66337142e-18j]
 ...
 [-0.01505447-3.22222511e-18j -0.01014948-3.85295607e-19j
  -0.01014948-8.11247300e-19j ...  0.00168335+1.43633910e-20j
  -0.00125907-2.22026166e-18j -0.00994396-1.07479019e-17j]
 [ 0.03569545-9.24090529e-19j  0.08068652+2.61324663e-18j
   0.03569545-7.52949386e-19j ... -0.00125907-1.32800134e-18j
  -0.01156856+2.19376016e-18j -0.01014948+2.98556680e-18j]
 [ 0.25507022+2.09434182e-18j  0.25507022-2.47735886e-18j
   0.08068652-3.10921146e-18j ... -0.00994396-4.35135067e-18j
  -0.01014948+1.62144483e-18j  0.08068652+2.02179079e-18j]]",[0.90705976 0.56281343 0.83049539 0.59159774 0.74704442],1
24.040363,0.320755,0.846154,[0.97185994 0.96940048 0.96108621 ... 0.95123299 0.9640202  0.96940048],"[[0.97185994 0.96940048 0.96108621 ... 0.94372302 0.96108621 0.96940048]
 [0.96940048 0.96940048 0.9640202  ... 0.92624861 0.95123299 0.9640202 ]
 [0.96108621 0.9640202  0.96108621 ... 0.89335464 0.93094316 0.95123299]
 ...
 [0.94372302 0.92624861 0.89335464 ... 0.94372302 0.95123299 0.95123299]
 [0.96108621 0.95123299 0.93094316 ... 0.95123299 0.96108621 0.9640202 ]
 [0.96940048 0.9640202  0.95123299 ... 0.95123299 0.9640202  0.96940048]]","[[ 0.77461445+0.00000000e+00j  0.24852472+2.23721935e-18j
   0.01555568-2.77541980e-19j ... -0.01670792-5.06643997e-18j
   0.01555568-4.02857571e-19j  0.24852472-2.28222173e-18j]
 [ 0.24852472+1.26154090e-18j  0.05958632-7.98959007e-20j
  -0.01798882+2.84074794e-19j ... -0.01798882-1.10170010e-18j
   0.05958632-3.26378103e-18j  0.24852472-1.04229428e-17j]
 [ 0.01555568-3.73295609e-19j -0.01798882-7.97961015e-19j
  -0.00845898-2.19977858e-19j ... -0.01798882-9.23138932e-20j
   0.01555568-3.94477607e-19j  0.05958632+2.17596852e-18j]
 ...
 [-0.01670792-5.83585920e-18j -0.01798882-4.76544970e-18j
  -0.01798882+8.68590623e-19j ...  0.00163172+1.95843192e-18j
   0.00158781-3.61904457e-18j -0.00626034-5.05945181e-18j]
 [ 0.01555568-4.12202174e-19j  0.05958632-1.32665924e-18j
   0.01555568-3.82138775e-19j ...  0.00158781-4.29823747e-19j
  -0.00845898-1.90005740e-19j -0.01798882+3.43293116e-18j]
 [ 0.24852472+1.63497622e-18j  0.24852472+1.22762228e-17j
   0.05958632-3.10318885e-18j ... -0.00626034-5.08028743e-18j
  -0.01798882+1.50419112e-18j  0.05958632+1.62225035e-18j]]",[0.93404474 0.61568183 0.85981458 0.63908011 0.77461445],1
34.693215,0.304878,0.627907,[0.97776214 0.97632832 0.97167946 ... 0.9664387  0.97329029 0.97632832],"[[0.97776214 0.97632832 0.97167946 ... 0.96256782 0.97167946 0.97632832]
 [0.97632832 0.97632832 0.97329029 ... 0.95378398 0.9664387  0.97329029]
 [0.97167946 0.97329029 0.97167946 ... 0.93750044 0.95612142 0.9664387 ]
 ...
 [0.96256782 0.95378398 0.93750044 ... 0.96256782 0.9664387  0.9664387 ]
 [0.97167946 0.9664387  0.95612142 ... 0.9664387  0.97167946 0.97329029]
 [0.97632832 0.97329029 0.9664387  ... 0.9664387  0.97329029 0.97632832]]","[[ 6.79038851e-01+0.00000000e+00j  2.94029454e-01+4.17322773e-18j
  -1.46644199e-02+1.98769831e-19j ... -1.80047869e-02-8.63635847e-18j
  -1.46644199e-02+3.45635787e-19j  2.94029454e-01-3.33559866e-18j]
 [ 2.94029454e-01+5.48400099e-18j  2.84111707e-02-3.67482512e-18j
  -3.05108500e-02-1.06178974e-18j ... -3.05108500e-02-2.35635553e-18j
   2.84111707e-02-5.63542819e-19j  2.94029454e-01-1.82860654e-18j]
 [-1.46644199e-02+2.25320741e-19j -3.05108500e-02+1.22164190e-18j
  -1.34866705e-03+9.04466733e-20j ... -3.05108500e-02+1.95263811e-18j
  -1.46644199e-02+4.65182422e-19j  2.84111707e-02+9.67259380e-19j]
 ...
 [-1.80047869e-02-5.04340373e-18j -3.05108500e-02-2.47842528e-18j
  -3.05108500e-02+9.10148513e-19j ... -2.58972892e-04+2.85458607e-18j
   5.59036475e-03-1.46693902e-18j  1.83072213e-03-6.25467367e-18j]
 [-1.46644199e-02+1.57553859e-19j  2.84111707e-02-7.95828376e-18j
  -1.46644199e-02+4.32472717e-19j ...  5.59036475e-03-1.11691542e-18j
  -1.34866705e-03+1.96107413e-19j -3.05108500e-02+2.58434836e-18j]
 [ 2.94029454e-01-3.71818836e-18j  2.94029454e-01+1.03560200e-17j
   2.84111707e-02+2.03106202e-19j ...  1.83072213e-03-7.96751996e-18j
  -3.05108500e-02+1.46340388e-18j  2.84111707e-02+2.50046830e-18j]]",[0.9522995  0.58369384 0.81892113 0.58588912 0.67903885],1
26.180491,0.332031,0.511628,[0.94967621 0.94738564 0.94008139 ... 0.93207878 0.94259056 0.94738564],"[[0.94967621 0.94738564 0.94008139 ... 0.92632395 0.94008139 0.94738564]
 [0.94738564 0.94738564 0.94259056 ... 0.91372306 0.93207878 0.94259056]
 [0.94008139 0.94259056 0.94008139 ... 0.8918266  0.91701594 0.93207878]
 ...
 [0.92632395 0.91372306 0.8918266  ... 0.92632395 0.93207878 0.93207878]
 [0.94008139 0.93207878 0.91701594 ... 0.93207878 0.94008139 0.94259056]
 [0.94738564 0.94259056 0.93207878 ... 0.93207878 0.94259056 0.94738564]]","[[ 7.50899405e-01+0.00000000e+00j  2.66857868e-01+5.10290485e-18j
  -1.40307428e-02+3.29931970e-19j ... -1.02923995e-02-5.17642400e-18j
  -1.40307428e-02+5.90535640e-19j  2.66857868e-01-5.36725660e-18j]
 [ 2.66857868e-01+3.10198627e-18j  1.85815434e-02-2.93136727e-19j
  -1.99539354e-02+7.58931572e-20j ... -1.99539354e-02+2.70247582e-19j
   1.85815434e-02+1.77723254e-19j  2.66857868e-01-6.29034898e-18j]
 [-1.40307428e-02+3.44259188e-19j -1.99539354e-02-4.72003076e-18j
  -1.90498326e-04+8.76440013e-20j ... -1.99539354e-02+1.18325694e-18j
  -1.40307428e-02+3.21314075e-19j  1.85815434e-02-1.07480288e-18j]
 ...
 [-1.02923995e-02-8.07849491e-18j -1.99539354e-02-2.86264534e-18j
  -1.99539354e-02+8.56099738e-19j ... -1.89836625e-04+1.18437043e-18j
   2.49611210e-03+1.30814914e-19j  1.44925007e-03+4.14030929e-19j]
 [-1.40307428e-02+2.60358137e-19j  1.85815434e-02+2.53789519e-18j
  -1.40307428e-02+4.37362912e-19j ...  2.49611210e-03-1.06107918e-18j
  -1.90498326e-04-8.06468394e-20j -1.99539354e-02+2.53101417e-18j]
 [ 2.66857868e-01-2.08672230e-18j  2.66857868e-01+1.30603488e-17j
   1.85815434e-02-1.24407388e-18j ...  1.44925007e-03-5.98505149e-18j
  -1.99539354e-02+1.61396285e-19j  1.85815434e-02-1.01992623e-18j]]",[0.97018947 0.65472292 0.87179308 0.66023271 0.75089941],1
30.832224,0.29918,0.651163,[0.95811667 0.95571238 0.94791393 ... 0.93916501 0.95061446 0.95571238],"[[0.95811667 0.95571238 0.94791393 ... 0.93275757 0.94791393 0.95571238]
 [0.95571238 0.95571238 0.95061446 ... 0.91844194 0.93916501 0.95061446]
 [0.94791393 0.95061446 0.94791393 ... 0.89282897 0.92221823 0.93916501]
 ...
 [0.93275757 0.91844194 0.89282897 ... 0.93275757 0.93916501 0.93916501]
 [0.94791393 0.93916501 0.92221823 ... 0.93916501 0.94791393 0.95061446]
 [0.95571238 0.95061446 0.93916501 ... 0.93916501 0.95061446 0.95571238]]","[[ 7.12410577e-01+0.00000000e+00j  2.81853810e-01+5.22881586e-18j
  -3.22219980e-03-3.17653980e-19j ... -1.51981074e-02-5.71520976e-18j
  -3.22219980e-03-2.51441807e-19j  2.81853810e-01-3.54666990e-18j]
 [ 2.81853810e-01+4.43736659e-18j  3.62365280e-02+1.22696184e-18j
  -2.25547426e-02-6.71639687e-20j ... -2.25547426e-02-1.76445504e-19j
   3.62365280e-02-9.03573488e-19j  2.81853810e-01+1.05581978e-18j]
 [-3.22219980e-03+1.73473513e-20j -2.25547426e-02-1.67013675e-18j
  -3.83952006e-03+3.69147911e-19j ... -2.25547426e-02+1.51064730e-18j
  -3.22219980e-03+1.99607070e-19j  3.62365280e-02-4.70642094e-18j]
 ...
 [-1.51981074e-02-5.21211997e-18j -2.25547426e-02+1.18886969e-18j
  -2.25547426e-02+6.36201109e-19j ...  5.81429676e-04-3.25966796e-19j
   3.20706869e-03-7.89053255e-19j -1.42555854e-03-7.33336757e-19j]
 [-3.22219980e-03+3.47176115e-20j  3.62365280e-02+2.97584909e-18j
  -3.22219980e-03+2.80494643e-19j ...  3.20706869e-03-2.09527058e-18j
  -3.83952006e-03+4.77173012e-19j -2.25547426e-02+2.87031568e-18j]
 [ 2.81853810e-01-4.72982602e-18j  2.81853810e-01-2.45155720e-18j
   3.62365280e-02+3.39529546e-19j ... -1.42555854e-03-5.61676947e-18j
  -2.25547426e-02+1.81253708e-18j  3.62365280e-02+6.48812442e-19j]]",[0.95199375 0.59914358 0.8383047  0.60738008 0.71241058],1
28.867281,0.319328,0.673913,[0.95591934 0.95353428 0.94584627 ... 0.93729916 0.9485006  0.95353428],"[[0.95591934 0.95353428 0.94584627 ... 0.93108526 0.94584627 0.95353428]
 [0.95353428 0.95353428 0.9485006  ... 0.9173215  0.93729916 0.9485006 ]
 [0.94584627 0.9485006  0.94584627 ... 0.8930283  0.9209375  0.93729916]
 ...
 [0.93108526 0.9173215  0.8930283  ... 0.93108526 0.93729916 0.93729916]
 [0.94584627 0.93729916 0.9209375  ... 0.93729916 0.94584627 0.9485006 ]
 [0.95353428 0.9485006  0.93729916 ... 0.93729916 0.9485006  0.95353428]]","[[ 7.39638309e-01+0.00000000e+00j  2.71279202e-01-1.67513129e-20j
  -7.91556514e-03+2.00681109e-19j ... -1.26151023e-02-5.56283548e-18j
  -7.91556514e-03+2.65955980e-19j  2.71279202e-01-1.87289199e-19j]
 [ 2.71279202e-01-6.49395649e-19j  2.78883906e-02+1.17259197e-19j
  -2.07181269e-02-3.58530752e-20j ... -2.07181269e-02-2.81919262e-18j
   2.78883906e-02-7.83985452e-19j  2.71279202e-01+3.41619764e-18j]
 [-7.91556514e-03+1.94489246e-19j -2.07181269e-02+1.40188395e-18j
  -2.14222362e-03+7.63115531e-21j ... -2.07181269e-02-1.48696200e-18j
  -7.91556514e-03+1.45573220e-19j  2.78883906e-02+2.77490345e-18j]
 ...
 [-1.26151023e-02-2.60927329e-18j -2.07181269e-02-2.92170019e-18j
  -2.07181269e-02+1.06053828e-18j ...  2.09877506e-04+1.13065661e-18j
   2.76590133e-03-7.22285348e-19j -1.55136131e-04-1.28917772e-17j]
 [-7.91556514e-03+2.02745952e-19j  2.78883906e-02-2.15699214e-18j
  -7.91556514e-03+8.48741686e-20j ...  2.76590133e-03-9.79126399e-19j
  -2.14222362e-03+1.39881974e-19j -2.07181269e-02-2.77591724e-18j]
 [ 2.71279202e-01+1.96977319e-18j  2.71279202e-01-3.97730905e-18j
   2.78883906e-02-1.46942466e-19j ... -1.55136131e-04-5.12361426e-18j
  -2.07181269e-02+2.16284390e-18j  2.78883906e-02-2.12627347e-18j]]",[0.96215411 0.63269395 0.85994875 0.64050065 0.73963831],1
24.601399,0.25,0.913043,[0.98488833 0.98282934 0.97535965 ... 0.96560778 0.97808097 0.98282934],"[[0.98488833 0.98282934 0.97535965 ... 0.95760659 0.97535965 0.98282934]
 [0.98282934 0.98282934 0.97808097 ... 0.93739551 0.96560778 0.97808097]
 [0.97535965 0.97808097 0.97535965 ... 0.89473675 0.94302322 0.96560778]
 ...
 [0.95760659 0.93739551 0.89473675 ... 0.95760659 0.96560778 0.96560778]
 [0.97535965 0.96560778 0.94302322 ... 0.96560778 0.97535965 0.97808097]
 [0.98282934 0.97808097 0.96560778 ... 0.96560778 0.97808097 0.98282934]]","[[ 0.67591685+0.00000000e+00j  0.27892509+2.61615339e-18j
   0.04461101+2.60355171e-19j ... -0.02125166-5.02027370e-18j
   0.04461101+5.55815278e-19j  0.27892509-2.56577129e-18j]
 [ 0.27892509+4.24196809e-18j  0.09488387+3.92912306e-18j
  -0.01332015-9.10700754e-19j ... -0.01332015-2.02608833e-18j
   0.09488387-3.84376483e-19j  0.27892509+4.62944214e-18j]
 [ 0.04461101-9.18400066e-19j -0.01332015-2.22264849e-19j
  -0.01755637-1.31488086e-19j ... -0.01332015-7.49120618e-19j
   0.04461101-2.35622362e-18j  0.09488387-2.49013943e-18j]
 ...
 [-0.02125166+2.56569873e-19j -0.01332015-3.75994392e-18j
  -0.01332015+6.96471824e-20j ...  0.00335546+6.63157446e-19j
  -0.00201674+2.71233558e-19j -0.01535779-3.18336779e-18j]
 [ 0.04461101-1.38790114e-18j  0.09488387-1.88186871e-19j
   0.04461101-2.90236247e-18j ... -0.00201674-1.46489068e-18j
  -0.01755637-5.78458951e-20j -0.01332015+8.85465631e-19j]
 [ 0.27892509-5.24961005e-18j  0.27892509-2.96683291e-18j
   0.09488387-2.77453105e-18j ... -0.01535779-5.07595026e-18j
  -0.01332015+7.55616864e-19j  0.09488387-3.33770593e-18j]]",[0.87841349 0.48430261 0.77545554 0.51251378 0.67591685],1
33.068801,0.271429,0.918367,[0.99799755 0.99762799 0.99623024 ... 0.99425671 0.99675071 0.99762799],"[[0.99799755 0.99762799 0.99623024 ... 0.99250566 0.99623024 0.99762799]
 [0.99762799 0.99762799 0.99675071 ... 0.98756995 0.99425671 0.99675071]
 [0.99623024 0.99675071 0.99623024 ... 0.97482167 0.98902026 0.99425671]
 ...
 [0.99250566 0.98756995 0.97482167 ... 0.99250566 0.99425671 0.99425671]
 [0.99623024 0.99425671 0.98902026 ... 0.99425671 0.99623024 0.99675071]
 [0.99762799 0.99675071 0.99425671 ... 0.99425671 0.99675071 0.99762799]]","[[ 0.65132617+0.00000000e+00j  0.28710093+2.56228615e-18j
   0.02956967-9.19973150e-21j ... -0.03565143-4.59948252e-18j
   0.02956967-1.94412715e-20j  0.28710093-2.28585806e-18j]
 [ 0.28710093+5.59374996e-18j  0.08750529+6.76127833e-19j
  -0.03302766-2.13428770e-18j ... -0.03302766-1.13454428e-18j
   0.08750529-2.41401565e-18j  0.28710093-3.74352317e-18j]
 [ 0.02956967-1.06101417e-18j -0.03302766+3.60397416e-18j
  -0.02160173+5.80974892e-19j ... -0.03302766+1.67309227e-18j
   0.02956967-2.63423879e-19j  0.08750529+7.90976728e-19j]
 ...
 [-0.03565143-6.05549234e-18j -0.03302766-2.99694718e-18j
  -0.03302766+2.09735705e-18j ...  0.00749113+1.70255432e-18j
   0.00553535-2.65531695e-18j -0.01676478+4.54116564e-19j]
 [ 0.02956967-1.05015534e-18j  0.08750529-3.14814647e-18j
   0.02956967-3.72573498e-19j ...  0.00553535-1.28915454e-18j
  -0.02160173+4.61101018e-19j -0.03302766-8.26955155e-19j]
 [ 0.28710093-4.81324711e-18j  0.28710093-6.19162769e-18j
   0.08750529-2.28954889e-19j ... -0.01676478-3.54119976e-18j
  -0.03302766+3.11830184e-19j  0.08750529-1.41202137e-18j]]",[0.87864124 0.47478477 0.7590868  0.50008812 0.65132616],1
23.757912,0.345745,0.949153,[0.99743662 0.99714624 0.9961265  ... 0.99483994 0.99649267 0.99714624],"[[0.99743662 0.99714624 0.9961265  ... 0.99379599 0.9961265  0.99714624]
 [0.99714624 0.99714624 0.99649267 ... 0.99114343 0.99483994 0.99649267]
 [0.9961265  0.99649267 0.9961265  ... 0.98522574 0.99189214 0.99483994]
 ...
 [0.99379599 0.99114343 0.98522574 ... 0.99379599 0.99483994 0.99483994]
 [0.9961265  0.99483994 0.99189214 ... 0.99483994 0.9961265  0.99649267]
 [0.99714624 0.99649267 0.99483994 ... 0.99483994 0.99649267 0.99714624]]","[[ 7.13180123e-01+0.00000000e+00j  2.76553354e-01+8.19557665e-19j
  -1.65242799e-02+3.98700455e-19j ... -2.50049696e-02-7.20382771e-18j
  -1.65242799e-02-1.04549639e-19j  2.76553354e-01+3.09418300e-18j]
 [ 2.76553354e-01+2.13457434e-18j  3.32607361e-02+8.42741208e-19j
  -3.84198497e-02-9.27079280e-20j ... -3.84198497e-02-2.76839919e-18j
   3.32607361e-02+1.18457445e-18j  2.76553354e-01+6.37687440e-18j]
 [-1.65242799e-02+3.79591730e-19j -3.84198497e-02-3.54815203e-19j
  -1.75081353e-03+1.45793190e-19j ... -3.84198497e-02+3.59671423e-18j
  -1.65242799e-02+7.32905900e-19j  3.32607361e-02-1.45581448e-18j]
 ...
 [-2.50049696e-02-4.29998175e-18j -3.84198497e-02+3.62441317e-20j
  -3.84198497e-02+2.77078550e-18j ... -4.97574600e-04+2.78570665e-18j
   9.54164159e-03-1.75577973e-18j  2.42655389e-03-5.49390449e-18j]
 [-1.65242799e-02+3.36485525e-19j  3.32607361e-02-1.54462932e-18j
  -1.65242799e-02+4.56153841e-19j ...  9.54164159e-03-1.44474382e-18j
  -1.75081353e-03+4.20529498e-19j -3.84198497e-02-2.07628602e-19j]
 [ 2.76553354e-01-1.93888731e-18j  2.76553354e-01-6.04141091e-18j
   3.32607361e-02-2.21836505e-19j ...  2.42655389e-03-7.36888151e-18j
  -3.84198497e-02+2.49968964e-18j  3.32607361e-02+1.47754790e-18j]]",[0.95126365 0.60474149 0.83308498 0.61267884 0.71318013],1
25.881209,0.257282,0.959184,[0.99669599 0.99617123 0.99419929 ... 0.99146068 0.9949304  0.99617123],"[[0.99669599 0.99617123 0.99419929 ... 0.98907412 0.99419929 0.99617123]
 [0.99617123 0.99617123 0.9949304  ... 0.98252045 0.99146068 0.9949304 ]
 [0.99419929 0.9949304  0.99419929 ... 0.96640296 0.98442213 0.99146068]
 ...
 [0.98907412 0.98252045 0.96640296 ... 0.98907412 0.99146068 0.99146068]
 [0.99419929 0.99146068 0.98442213 ... 0.99146068 0.99419929 0.9949304 ]
 [0.99617123 0.9949304  0.99146068 ... 0.99146068 0.9949304  0.99617123]]","[[ 0.62596191+0.00000000e+00j  0.29973089+4.36204349e-18j
   0.0260299 -1.32746445e-18j ... -0.03326014-6.13017617e-18j
   0.0260299 -1.86183604e-18j  0.29973089-4.84015319e-18j]
 [ 0.29973089+2.95861877e-18j  0.08125596+4.00699090e-18j
  -0.03096611-8.36685533e-19j ... -0.03096611+2.14141783e-20j
   0.08125596-2.24105008e-18j  0.29973089+2.03818628e-18j]
 [ 0.0260299 -8.05096803e-19j -0.03096611+2.07370449e-18j
  -0.01970386+1.16467488e-18j ... -0.03096611+4.69621398e-18j
   0.0260299 -4.54956552e-20j  0.08125596+3.01778371e-18j]
 ...
 [-0.03326014-1.10453947e-17j -0.03096611-3.95118295e-18j
  -0.03096611+2.86120086e-18j ...  0.00624758+2.33571652e-18j
   0.004971  +4.54806401e-19j -0.01515611+3.08778296e-18j]
 [ 0.0260299 -6.72590833e-19j  0.08125596-2.91028645e-18j
   0.0260299 -5.10371879e-19j ...  0.004971  -1.83626556e-18j
  -0.01970386+8.86813027e-19j -0.03096611+3.69645804e-18j]
 [ 0.29973089-4.01375740e-18j  0.29973089+1.83615089e-18j
   0.08125596-3.03551368e-18j ... -0.01515611-5.91393036e-18j
  -0.03096611+4.63415049e-19j  0.08125596+1.09158042e-18j]]",[0.88181947 0.46360826 0.74859632 0.48338314 0.62596191],1
