key,L
25.718299_0.385714_0.789474,1.6811016
27.151703_0.505495_0.842857,1.8699731
33.913632_0.275424_0.744186,1.563564
32.733710_0.453125_0.830769,1.8367287
25.333385_0.467290_0.693548,1.6389741
25.045267_0.524390_0.918919,2.2776008
30.595178_0.238462_0.588235,1.4466059
29.062849_0.321739_0.729167,1.5793046
28.856802_0.417647_0.970149,2.6491709
32.347785_0.483333_0.869565,1.9970255
20.035500_0.357143_0.818182,1.7098457
32.318180_0.359091_0.754717,1.6595908
22.878180_0.429348_0.892308,2.0553586
31.864540_0.388350_0.810345,1.7654805
31.508595_0.521552_0.539683,1.8515064
33.517061_0.528090_0.847222,1.8972745
31.752789_0.256000_0.657895,1.4685616
22.481903_0.382353_0.607843,1.5197394
21.220417_0.426471_0.786885,1.6567496
26.705846_0.397059_0.813559,1.7511063
27.323171_0.334783_0.714286,1.5664266
22.623460_0.347222_0.792453,1.6318493
20.045692_0.229358_0.931818,2.0308094
29.838073_0.385714_0.789474,1.7071736
29.565590_0.453125_0.830769,1.8293318
31.923817_0.336066_0.608696,1.6118796
19.891106_0.428571_0.970588,2.5050533
19.824418_0.388000_0.510204,1.5403545
30.477257_0.250000_0.571429,1.4820083
29.330719_0.250000_0.888889,2.0803213
27.344817_0.418103_0.618182,1.6544284
33.120248_0.516667_0.845070,1.8990031
31.859313_0.274590_0.682927,1.5169189
22.394174_0.546053_0.961039,2.5357878
31.160022_0.357143_0.730769,1.6447989
22.445741_0.369748_0.620000,1.5160904
32.909569_0.426087_0.625000,1.754358
30.317189_0.412371_0.854839,1.9287559
34.638066_0.325581_0.500000,1.6931418
25.068045_0.466102_0.551724,1.7005191
33.811419_0.279070_0.552632,1.581935
25.720144_0.296460_0.787234,1.6594479
24.099732_0.448980_0.812500,1.7651093
34.039406_0.313953_0.512195,1.6692517
26.082973_0.323009_0.755102,1.5884677
23.278416_0.333333_0.910714,2.1591609
33.466299_0.531250_0.933333,2.4499753
16.706065_0.242718_0.979167,2.168403
27.271753_0.287129_0.942308,2.3261025
23.348705_0.460526_0.610169,1.6073098
